No.Tên, Địa điểm, Loại di tích, Năm công nhận, Ghi chú
1112. Nhà thờ họ Nguyễn Triệu Cơ, Quỳnh Lưu, Lịch sử văn hóa, 1998, N/A
1113. Đình Làng, Quỳnh Đôi, Quỳnh Lưu, Lịch sử văn hóa, 1991, N/A
1114. Đền Thần, Quỳnh Đôi, Quỳnh Lưu, Lịch sử, 2013, N/A
1115. Đền Thượng, Quỳnh Nghĩa, Quỳnh Lưu, Lịch sử văn hóa, 1996, N/A
1116. Đền thờ và mộ Hồ Hữu Nhân, Quỳnh Lưu, Lịch sử, 1999, N/A
1117. Đền Đồng Xuân, Quỳnh Bảng, Quỳnh Lưu, Lịch sử, 2009, N/A
1118. Đền và mộ Quận công Nguyễn Bá Lai, Quỳnh Lưu, Lịch sử, 1997, N/A
1119. Đình Tám Mái, Quỳnh Lưu, Lịch sử, 1992, N/A
1120. Đền thờ Hồ Hưng Dật, Quỳnh Lưu, Lịch sử, 2014, N/A
1121. Mộ và nhà thờ Hồ Phi Tích, Quỳnh Lưu, Lịch sử, 2015, N/A
1122. Đền Cờn, Hoàng Mai, Lịch sử, 1993, N/A
1123. Đền Xuân Úc, Hoàng Mai, Lịch sử, 1996, N/A
1124. Hang Hỏa Tiễn và Nghĩa trang Liệt sĩ Đường Sắt, Hoàng Mai, Lịch sử, 2011, N/A
1125. , Lịch sử, N/A, N/A, 2016
1126. Đền Hào Kiệt, Vĩnh Thành- Yên Thành, Di tích lịch sử, 2023, N/A
1127. Khu lưu niệm Bác Hồ về thăm Hà Tĩnh, Hà Tĩnh, Lịch sử, 1994, N/A
1128. Đền thờ Đô Đài Bùi Cầm Hổ, Hồng Lĩnh, Lịch sử, 1992, N/A
1129. Chỉ huy Sở Tiền phương Bộ tư lệnh 559, Hương Khê, Lịch sử, 2005, N/A
1130. Rộc Cồn (Lưu niệm phong trào Xô Viết Nghệ Tĩnh 1930-1931), Hương Khê, Lịch sử, 1994, N/A
1131. Mộ và Đền thờ Nguyễn Lỗi, Hương Sơn, Lịch sử, 2001, N/A
1132. Đền thờ và mộ Nguyễn Tuấn Thiện, Hương Sơn, Lịch sử, 1994, N/A
1133. Nhà thờ Cao Thắng, Hương Sơn, Lịch sử, 1998, N/A
1134. Nhà thờ và phần mộ Danh nhân Đào Hữu Ích, Hương Sơn, Lịch sử - Văn hóa, 2015, N/A
1135. Quần thể di tích Hải Thượng Lãn Ông Lê Hữu Trác, Hương Sơn, Lịch sử văn hóa, 1990, N/A
1136. Mộ và nhà thờ Lê Hầu Tạo, Hương Sơn, Lịch sử, 1995, N/A
1137. Chùa Am, Đức Thọ, Lịch sử, 1995, N/A
1138. Đền Liên Minh, Đức Thọ, Lịch sử, 2008, N/A
1139. Đền Cả Tổng Du Đồng, Đức Thọ, Lịch sử, 2002, N/A
1140. Đền thờ Ngô Thị Ngọc Dao, Đức Thọ, Lịch sử, 1998, N/A
1141. Đền thờ Nguyễn Biểu, Đức Thọ, Lịch sử, 1991, N/A
1142. Đền Thái Yên, Đức Thọ, Lịch sử, 1994, N/A
1143. Nhà thờ Phan Đình Phùng, Đức Thọ, Lịch sử, 2006, N/A
1144. Đền Đinh Lễ, Đức Thọ, Lịch sử, 2006, N/A
1145. Nhà thờ Bùi Dương Lịch, Đức Thọ, Lịch sử, 1998, N/A
1146. Đền thờ và mộ Ngô Phúc Vạn, Đại Lộc- Can Lộc, Lịch sử văn hóa, 1992, N/A
1147. Nhà thờ Phan Kính, Song Lộc- Can Lộc, Lịch sử, 1992, N/A
1148. Đền Cả Can Lộc, Ích Hậu- Can Lộc, Lịch sử văn hóa, 1992, N/A
1149. Đền thờ Nguyễn Biên, Cẩm Xuyên, Lịch sử, 2003, N/A
1150. Nhà lưu niệm đồng chí Hà Huy Tập, Cẩm Xuyên, Lịch sử, 2004, N/A
1151. Đền thờ Phương Giai, Kỳ Anh, Lịch sử, 1994, N/A
1152. Đền thờ Lê Quảng Chí – Lê Quảng Ý, Kỳ Anh, Lịch sử, 1996, N/A
1153. Lũy đá cổ Kỳ Anh, Kỳ Anh, Lịch sử, 2015, N/A
1154. Căn cứ Vũ Quang của khởi nghĩa Hương Khê, Vũ Quang, Lịch sử, 1995, N/A
1155. Di chỉ Thạch Lạc, Thạch Hà, Lịch sử, 2008, N/A
1156. Đền thờ và lăng mộ Lê Khôi, Thạch Hà, Lịch sử, 1990, N/A
1157. Nhà cụ Mai Kính, Thạch Hà, Lịch sử, 1990, N/A
1158. Nhà thờ họ Phan Huy, Lộc Hà, Lịch sử, 1995, N/A
1159. Đình làng Đỉnh Lữ, Lộc Hà, Lịch sử, 1998, N/A
1160. Chùa Chân Tiên, Lộc Hà, Lịch sử văn hóa, 1992, N/A
1161. Nhà thờ và mộ Nguyễn Công Trứ, Nghi Xuân, Lịch sử văn hóa, 1991, N/A
1162. Đền thờ Nguyễn Xí, Nghi Xuân, Lịch sử, 2006, N/A
1163. Di tích khảo cổ Phôi Phối – Bãi Cọi, Nghi Xuân, Khảo cổ, 2014, N/A
1164. Khu lưu niệm Đại thi hào Nguyễn Du, Nghi Xuân, Lịch sử đặc biệt, 2012, 1419/QĐ-TTg
1165. Chùa Hoằng Phúc, Mỹ Thủy- Lệ Thủy, Lịch sử văn hóa, 2015, N/A
1166. Bến đò Mẹ Suốt, Bảo Ninh- Đồng Hới, Lịch sử, 1992, N/A
1167. Khu giao tế Quảng Bình, Bảo Ninh- Đồng Hới, Lịch sử, 1998, N/A
1168. Trận địa pháo của lão dân quân Đức Ninh, Đức Ninh- Đồng Hới, Lịch sử, 1995, N/A
1169. Cửa biển Nhật Lệ, Đồng Hới, Lịch sử văn hóa, 1992, N/A
1170. Thành Đồng Hới, Đồng Hới, Văn hóa kiến trúc, 1992, N/A
1171. Chiến khu Trung Thuần, Quảng Lưu- Quảng Trạch, Lịch sử, 1995, N/A
1172. Quảng Minh, Quảng Trạch, Lịch sử, N/A, N/A, 1993
1173. Mộ và nhà thờ Đề đốc Lê Trực, Tiến Hóa- Minh Hóa, Lịch sử, 1993, N/A
1174. KDT Đường Trường Sơn - Đường Hồ Chí Minh, Các tỉnh, Lịch sử cách mạng đặc biệt, 2013, 2383/QĐ-TTg
1175. Đèo Đá Đẽo, Minh Hóa và Bố Trạch, Lịch sử, 2015, KDT Đường Trường Sơn
1176. Nhà thờ Nguyễn Văn Nại, Nguyễn Văn Duyệt, Nguyễn Duy Cần, Hải Phú- Bố Trạch, Lịch sử, 7/1/2020, 38/QĐ-BVHTTDL 
1177. Vườn quốc gia Phong Nha - Kẻ Bàng, Bố Trạch, Lịch sử danh thắng đặc biệt, 2009, số 1272/QĐ-TTg
1178. Quảng Bình Quan, Hải Đình- Đồng Hới, Lịch sử văn hóa, N/A, N/A
1179. Khảo cổ Bàu Tró, Đồng Hới, Lịch sử khảo cổ, N/A, N/A
1180. Địa điểm lưu niệm Bác Hồ về thăm Quảng Bình (6/1957), Đức Ninh- Đồng Hới, Lịch sử văn hóa, N/A, N/A
1181. Lũy Đào Duy Từ, Quảng Hòa- Ba Đồn, Lịch sử văn hóa, N/A, N/A
1182. Đình Hòa Ninh, Quảng Lộc- Ba Đồn, Lịch sử văn hóa, N/A, N/A
1183. Đình Phù Trịch, Quảng Phong- Ba Đồn, Lịch sử văn hóa, N/A, N/A
1184. Đình Lũ Phong, Quảng Minh- Ba Đồn, Lịch sử văn hóa, N/A, N/A
1185. Điện Thành Hoàng Vĩnh Lộc, Quảng Sơn- Ba Đồn, Lịch sử văn hóa, N/A, N/A
1186. Di tích Mai Lượng, Quảng Thuận & Quảng Phúc- Ba Đồn, Lịch sử văn hóa, N/A, N/A
1187. Bến phà Gianh 2, Quảng Long- Ba Đồn, Lịch sử văn hóa, N/A, N/A
1188. Bến phà Gianh 1, Hoàn Lão- Bố Trạch, Lịch sử văn hóa, N/A, N/A
1189. Đình Tượng Sơn, Nhân Trạch- Bố Trạch, Lịch sử văn hóa, N/A, N/A
1190. Lăng mộ Hồ Hồng (Hồ Cưỡng), Cự Nẫm- Bố Trạch, Lịch sử văn hóa, N/A, N/A
1191. Làng chiến đấu Cự Nẫm, Hải Trạch & Thanh Trạch- Bố Trạch, Lịch sử văn hóa, N/A, N/A
1192. Khu danh thắng Lý Hòa, Hải Trạch- Bố Trạch, Danh thắng, N/A, N/A
1193. Đình Lý Hòa, Hạ Trạch & Thanh Trạch- Bố Trạch, Lịch sử, N/A, N/A
1194. Ga Kẻ Rấy, Tân Trạch- Bố Trạch, Lịch sử văn hóa, N/A, N/A
1195. Các trọng điểm trên đường 20 Quyết Thắng: Km 10.5; Km 14 trọng điểm Trà Ang; Km 16.5 hang 8 TNXP, Tân Trạch- Bố Trạch, Lịch sử văn hóa, N/A, N/A
1196. Hang Tám Cô, Cảnh Dương- Quảng Trạch, Lịch sử văn hóa, N/A, N/A
1197. Khu vực: – Bến phà Xuân Sơn – Động Phong Nha, Phong Nha- Bố Trạch, Lịch sử, N/A, KDT Đường Trường Sơn
1198. Làng chiến đấu Cảnh Dương, Quảng Phương- Quảng Trạch, Lịch sử văn hóa, N/A, N/A
1199. Đình Đông Dương, Quảng Lưu & Quảng Thạch- Quảng Trạch, Lịch sử văn hóa, N/A, N/A
1200. Hang Lèn Hà, Hoá Thanh & Hoá Tiến- Minh Hóa, Lịch sử văn hóa, N/A, N/A
1201. Hang động: – Xã Hoá Thanh (hang Thanh Lạng tổng kho X47) – Xã Hoá Tiến (hang Xăng dầu, hang Chỉ huy, hang Hậu cần của Bộ chỉ huy 559), Minh Hóa, Lịch sử, N/A, KDT Đường Trường Sơn
1202. Các trọng điểm trên đường 12A: – Bãi Dinh – Đồi 37,Cha Lo, Cổng Trời… -La Trọng – Ngầm Khe Ve – Ngầm Rinh, Võ Ninh- Quảng Ninh, Lịch sử, N/A, KDT Đường Trường Sơn
1203. Nhà nhóm thôn Trung, Vĩnh Ninh- Quảng Ninh, Lịch sử văn hóa, N/A, N/A
1204. Luỹ Đào Duy Từ (Luỹ Đầu Mâu), Xuân Ninh & Hiền Ninh- Quảng Ninh, Lịch sử văn hóa, N/A, N/A
1205. Bến phà Long Đại, Võ Ninh & Quán Hàu- Quảng Ninh, Lịch sử, N/A, KDT Đường Trường Sơn
1206. Bến phà Quán Hàu, Võ Ninh- Quảng Ninh, Lịch sử văn hóa, N/A, N/A
1207. Lăng mộ Hữu Quân Đô thống Chưởng phủ sự Lê Sỹ, Hiền Ninh- Quảng Ninh, Lịch sử văn hóa, N/A, N/A
1208. Khu vực Sở chỉ huy cơ bản của Bộ Tư lệnh 559: – Hội trường Bộ Tư lệnh – Nhà thờ họ Nguyễn – Nhà thờ họ Trương – Phòng khách Bộ Tư lệnh 559, Lộc Thủy- Lệ Thủy, Lịch sử, N/A, KDT Đường Trường Sơn
1209. Chùa An Xá, Xuân Thủy- Lệ Thủy, Lịch sử văn hóa, N/A, N/A
1210. Chiến thắng Xuân Bồ, Tân Thủy- Lệ Thủy, Lịch sử văn hóa, N/A, N/A
1211. Miếu Thành Hoàng Mỹ Thổ – Trung Lực, Trường Thủy- Lệ Thủy, Lịch sử văn hóa, N/A, N/A
1212. Lăng mộ Nguyễn Hữu Cảnh, Trường Thủy & Phong Thủy- Lệ Thủy, Lịch sử văn hóa, N/A, N/A
1213. Lăng mộ và miếu thờ Hoàng Hối Khanh, Mỹ Thủy- Lệ Thủy, Lịch sử văn hóa, N/A, N/A
1214. Vụ thảm sát Mỹ Trạch, Ngân Thủy- Lệ Thủy, Chứng tích tội ác chiến tranh, N/A, N/A
1215. Trạm thông tin A72, Ngư Thủy Trung- Lệ Thủy, Lịch sử, N/A, KDT Đường Trường Sơn
1216. Trận địa Đại đội nữ Pháo binh Ngư Thủy, Ngư Thủy Trung- Lệ Thủy, , N/A, N/A
1217. Mộ và Nhà thờ Hoàng Kế Viêm, Lương Ninh- Quảng Ninh, Di tích lịch sử, 2023, N/A
1218. Bến đò Tùng Luật, Vĩnh Giang- Vĩnh Linh, Lịch sử cách mạng, 1996, N/A
1219. Khu vực đôi bờ Hiền Lương (bao gồm Cầu Hiền Lương, nhà liên hiệp và đồn công an giới tuyến), Vĩnh Thành- Vĩnh Linh, Lịch sử cách mạng đặc biệt, 1986, đặc biệt 2013 tại 2383/QĐ-TTg
1220. Địa đạo Vĩnh Mốc và Hệ thống làng hầm Vĩnh Linh, Vĩnh Thạch- Vĩnh Linh, Lịch sử cách mạng đặc biệt, 1975, đặc biệt 2014 số 2408/QĐ-TTg
1221. Trận địa tên lửa T5, Nơi bắn rơi máy B52 đầu tiên ở Việt Nam, Bến Quan- Vĩnh Linh, Lịch sử cách mạng, 2010, 3998/QĐ 10/11/2010
1222. Trụ sở Chính phủ Cách mạng lâm thời Cộng hòa miền Nam Việt Nam, Cam Lộ- Cam Lộ, Lịch sử văn hóa, 1991, N/A
1223. Căn cứ Tân Sở, Cam Chính- Cam Lộ, Lịch sử, 1995, N/A
1224. Đình làng Câu Nhi, Hải Tân- Hải Lăng, Lịch sử văn hóa, 2001, N/A
1225. Địa điểm Thảm sát Mỹ Thủy, Hải An- Hải Lăng, Lịch sử, 2001, N/A
1226. Chùa Sắc Tứ, Ái Tử- Triệu Phong, Lịch sử văn hóa, 2009, N/A
1227. Khu lưu niệm Tổng Bí thư Lê Duẩn, Triệu Thành- Triệu Phong, Lịch sử văn hóa, 2010, N/A
1228. Cứ điểm Làng Vây, Tân Long- Hướng Hóa, Lịch sử cách mạng, 2011, N/A
1229. Nhà tù Lao Bảo, Lao Bảo- Hướng Hóa, Lịch sử cách mạng, 1991, N/A
1230. Sân bay Tà Cơn, Tân Hợp- Hướng Hóa, Lịch sử, 1986, N/A
1231. Đình Hà Thượng, thị trấn Gio Linh, Lịch sử văn hóa, 1991, N/A
1232. Địa điểm thảm sát làng Tân Minh (xóm Giữa), Gio Thành- Gio Linh, Lịch sử, 1995, N/A
1233. Hệ thống công trình khai thác nước cổ Gio An (14 Giếng cổ), Gio An- Gio Linh, Khảo cổ văn hóa, 2001, N/A
1234. Căn cứ Dốc Miếu - Cồn Tiên, Gio Phong và Gio An, Lịch sử, 1986, N/A
1235. Các điểm vượt đường 9 của đường dây 559 (bao gồm các cầu Khe Xom, Xom Rò, Du Tiên), Đakrông- Đakrông, Lịch sử đặc biệt, 2013, KDT Đường Trường Sơn
1236. Cầu treo Bến Tắt, Vĩnh Trường- Gio Linh, Lịch sử đặc biệt, 2013, KDT Đường Trường Sơn
1237. Chùa Bảo Đông và bia, môn Trần Đình Ân, Gio Châu- Gio Linh, Lịch sử văn hóa, 1991, N/A
1238. Khu di tích Trận chiến đấu 81 ngày đêm tại Quảng Trị, Bến Quan- Vĩnh Linh, Lịch sử cách mạng đặc biệt, 1986, KDT Trận chiến Quảng Trị, đặc biệt 2013
1239. Thành cổ Quảng Trị, Quảng Trị, Lịch sử kiến trúc đặc biệt, 1986, KDT Trận chiến Quảng Trị
1240. Ngã ba Cầu Ga, Triệu Thượng- Triệu Phong, Lịch sử đặc biệt, 1986, đặc biệt 2013
1241. Ngã ba Long Hưng, Hải Phú- Hải Lăng, Lịch sử đặc biệt, 1986, KDT Trận chiến Quảng Trị
1242. Nhà thờ Long Hưng, Hải Phú- Hải Lăng, Lịch sử đặc biệt, 1986, KDT Trận chiến Quảng Trị
1243. Chốt thép Long Quang, Triệu Trạch- Triệu Phong, Lịch sử đặc biệt, 1986, KDT Trận chiến Quảng Trị
1244. Nhà thờ Tri Bưu, Phường 1- Quảng Trị, Lịch sử đặc biệt, 1986, KDT Trận chiến Quảng Trị
1245. Bến sông Thạch Hãn, Phường 2- Quảng Trị, Lịch sử đặc biệt, 1986, KDT Trận chiến Quảng Trị
1246. Trường Bồ Đề, Phường 2- Quảng Trị, Lịch sử đặc biệt, 1986, KDT Trận chiến Quảng Trị
1247. Chiến khu Ba Lòng, Hải Phúc- Ba Lòng và Triệu Nguyên- Đakrông, Lịch sử, 1999, N/A
1248. Cảng quân sự Đông Hà, Phường 2- Đông Hà, Lịch sử, 1986, N/A
1249. Đình làng Nghĩa An và hệ thống giếng Chăm, Đông Thanh- Đông Hà, Lịch sử, 1996, N/A
1250. Chùa Giác Lương, Phong Hiền- Phong Điền, Lịch sử, 1992, N/A
1251. Mộ Trần Văn Kỷ, Phong Bình- Phong Điền, Lịch sử, 1995, N/A
1252. Mộ Nguyễn Lộ Trạch, Điền Môn- Phong Điền, Lịch sử, 2001, N/A
1253. Nhà thờ và mộ Nguyễn Tri Phương, Phong Chương- Phong Điền, Lịch sử, 1990, N/A
1254. Đình Bàn Môn, Lộc An- Phú Lộc, Lịch sử văn hóa, 1990, N/A
1255. Mộ Nguyễn Cư Trinh, Lộc Bổn- Phú Lộc, Lịch sử, 1999, N/A
1256. Đình Quy Lai, Phú Thanh- Huế, Lịch sử văn hóa, 2005, N/A
1257. Địa điểm lưu niệm Chủ tịch Hồ Chí Minh ở Dương Nổ, Phú Dương- Phú Vang, Lịch sử, 1990, N/A
1258. Đình Dạ Lê, Thủy Vân- Hương Thủy, Lịch sử văn hóa, 2001, N/A
1259. Lăng Hiếu Đông (thuộc Quần thể lăng tẩm hoàng gia Nguyễn), Thủy Bằng- Hương Thủy, Lịch sử văn hóa, 2006, N/A
1260. Lăng mộ và Phủ thờ Diên Khánh Vương, An Tây- Huế, Lịch sử văn hóa, 2020, N/A
1261. Lăng Dục Đức, An Cựu- Huế, Lịch sử văn hóa, 1979, N/A
1262. Thanh Bình Từ Đường, Gia Hội- Huế, Lịch sử, 1992, N/A
1263. Khu lưu niệm Phan Bội Châu, Trường An- Huế, Lịch sử, 1990, N/A
1264. Nhà thờ Tổ nghề kim hoàn, Huế, Lịch sử văn hóa, 1990, N/A
1265. Lăng mộ và nhà thờ Ông Tổ nghề đúc đồng, Phường Đúc- Huế, Lịch sử văn hóa, 1996, N/A
1266. KDT Cố đô Huế, Huế, Lịch sử văn hóa đặc biệt, 2009, số 1272/QĐ-TTg
1267. Văn Miếu Huế, Hương Long- Huế, Lịch sử văn hóa, N/A, N/A
1268. Viện Cơ Mật-Tam Tòa, Đông Ba- Huế, Văn hóa kiến trúc, N/A, N/A
1269. Quốc Tử Giám (Huế), Thuận Thành- Huế, Văn hóa kiến trúc, 2004, KDT Cố đô Huế
1270. Phu Văn Lâu, Phú Hòa- Huế, Lịch sử, N/A, KDT Cố đô Huế
1271. Ngọ Môn, , Lịch sử kiến trúc, N/A, KDT Cố đô Huế
1272. Tàng thư lâu, , Văn hóa kiến trúc, N/A, KDT Cố đô Huế
1273. Lăng Tự Đức, , Lịch sử, N/A, KDT Cố đô Huế
1274. Lăng Thiệu Trị, Thủy Bằng- Hương Thủy, Lịch sử văn hóa, 1979, KDT Cố đô Huế
1275. Lăng Minh Mạng, , Lịch sử, N/A, KDT Cố đô Huế
1276. Lăng Gia Long, , Lịch sử, N/A, KDT Cố đô Huế
1277. Lăng Đồng Khánh, , Lịch sử, N/A, KDT Cố đô Huế
1278. Chùa Thiên Mụ, , Lịch sử, N/A, KDT Cố đô Huế
1279. Chùa Báo Quốc, , Lịch sử, N/A, N/A
1280. Thành Điện Hải, Thạch Thang- Hải Châu, Lịch sử đặc biệt, 1988, đặc biệt 2017; 2082/QĐ-TTg
1281. Nghĩa trũng Phước Ninh, Nam Dương- Hải Châu, Lịch sử, 1988, N/A
1282. Bia chùa Long Thủ, Bình Hiên- Hải Châu, Lịch sử, 1992, N/A
1283. Đình Hải Châu, Hải Châu I- Hải Châu, Lịch sử, 2001, N/A
1284. Đình Nại Nam, Hòa Cường- Hải Châu, Lịch sử, 1999, N/A
1285. Ngũ Hành Sơn, Ngũ Hành Sơn, Danh thắng đăc biệt, 2018, N/A
1286. Khu căn cứ cách mạng K20, Khuê Mỹ- Ngũ Hành Sơn, Lịch sử, N/A, N/A
1287. Chùa Tam Thai, Hòa Hải- Ngũ Hành Sơn, Lịch sử, N/A, N/A
1288. Đình Tiền hiền làng An Hải và đền Thoại Ngọc Hầu, An Hải Tây- Sơn Trà, Lịch sử, 2007, N/A
1289. Nghĩa trang I-Pha-Nho, Thọ Quang- Sơn Trà, Lịch sử, 1988, N/A
1290. Đình Thạc Gián, Chính Gián- Thanh Khê, Lịch sử, 2007, N/A
1291. Nghĩa trũng Hòa Vang, Khuê Trung- Hòa Vang, Lịch sử, 1999, N/A
1292. Lăng mộ Ông Ích Khiêm, Hòa Thọ- Hòa Vang, Lịch sử, 2001, N/A
1293. Đình Quá Giáng, Hòa Phước- Hòa Vang, Lịch sử, 2000, N/A
1294. Đình Bồ Bản, Hòa Phong- Hòa Vang, Lịch sử, 1999, N/A
1295. Đình Tuý Loan, Hòa Phong- Hòa Vang, Lịch sử, 1999, N/A
1296. Mộ Đỗ Thúc Tịnh, Hòa Khương- Hòa Vang, Lịch sử, 2007, N/A
1297. Hải Vân Quan, Đà Nẵng & Thừa Thiên Huế, Lịch sử, 2017, N/A
1298. Địa điểm khởi phát phong trào chống sưu thuế năm 1908 ở miền Trung, Đại Nghĩa- Đại Lộc, Lịch sử, 2018, N/A
1299. Đô thị cổ Hội An, Hội An, Lịch sử văn hóa đặc biệt, 2009, số 1272/QĐ-TTg
1300. Hội quán Phúc Kiến, Hội An, Lịch sử văn hóa, 1990, N/A
1301. Đình Xuân Mỹ, Thanh Hà- Hội An, Lịch sử văn hóa, 1993, N/A
1302. Chùa Quan Âm, Minh An- Hội An, Lịch sử văn hóa, 1991, N/A
1303. Chùa Ông Hội An (Quan Công miếu), Minh An- Hội An, Lịch sử văn hóa, 1991, N/A
1304. Thánh địa Mỹ Sơn (Đền tháp Mỹ Sơn), Duy Phú- Duy Xuyên, Lịch sử văn hóa đặc biệt, 2009, số 1272/QĐ-TTg
1305. Địa đạo Kỳ Anh, Tam Thăng- Tam Kỳ, Lịch sử văn hóa, 1997, N/A
1306. Đình Chiên Đàn, Tam Đàn- Tam Kỳ, Lịch sử văn hóa, 2005, N/A
1307. Lăng mộ Thượng thư Trương Công Hy, Điện Thắng- Điện Bàn, Lịch sử văn hóa, 2013, N/A
1308. Tháp Bằng An, Điện An- Điện Bàn, Lịch sử văn hóa, 2010, Tháp Chăm
1309. Tháp Đồng Dương (Phật viện Đồng Dương), Bình Định Bắc- Thăng Bình, Lịch sử văn hóa đặc biệt, 2016, 2499/QĐ-TTg
1310. Nhà lưu niệm cụ Huỳnh Thúc Kháng, Tiên Cảnh- Tiên Phước, Lịch sử văn hóa, 2015, N/A
1311. Làng cổ Lộc Yên, Tiên Cảnh- Tiên Phước, Lịch sử văn hóa, 2019, N/A
1312. Địa điểm diễn ra cuộc đấu tranh Cây Cốc năm 1954, Tiên Thọ- Tiên Phước, Lịch sử văn hóa, 2019, N/A
1313. Lăng mộ Đoàn Quý phi, Duy Trinh- Duy Xuyên, Lịch sử văn hóa, 2011, N/A
1314. Địa đạo Phú An - Phú Xuân, Đại Thắng- Đại Lộc, Lịch sử văn hóa, 2002, 39/QĐ-BVH
1315. Nước Là - Căn cứ Liên Khu ủy và Ban Quân sự Khu 5, Trà Mai- Nam Trà My, Lịch sử văn hóa, 2019, N/A
1316. Địa điểm Ban Kiểm tra Khu ủy Khu V, Trà Tân- Bắc Trà My, Lịch sử văn hóa, 2013, N/A
1317. Danh lam thắng cảnh Bàn Than – Hòn Mang – Hòn Dứa, Tam Hải- Núi Thanh, Danh lam thắng cảnh, 2023, Số 393/QĐ-BVHTTDL
1318. Di tích khảo cổ Văn hóa Sa Huỳnh, Đức Phổ, Lịch sử khảo cổ đặc biệt, 2010, N/A
1319. Trường lũy Quảng Ngãi, Trà Bồng & An Lão, Lịch sử văn hóa, 2011, N/A
1320. Đình An Định, Hành Dũng- Nghĩa Hành, Văn hóa kiến trúc, 2017, N/A
1321. Chùa Thiên Ấn, Tịnh Ấn- Sơn Tịnh, Lịch sử văn hóa, 1990, N/A
1322. Khởi nghĩa Ba Tơ, Ba Tơ, Lịch sử văn hóa đặc biệt, 1980, đặc biệt 2018
1323. Chùa Hang (Quảng Ngãi), Lý Sơn, Lịch sử văn hóa, 1994, N/A
1324. Đình An Vĩnh, Lý Sơn, Lịch sử văn hóa, 1995, N/A
1325. Đình An Hải, An Hải- Lý Sơn, Lịch sử văn hóa, 1995, N/A
1326. Núi Giếng Tiền, Vĩnh An- Lý Sơn, Danh thắng, 7/1/2020, 46/QĐ-BVHTTDL 
1327. Núi Thới Lới, An Hải- Lý Sơn, Danh thắng, 7/1/2020, số 47/QĐ-BVHTTDL 
1328. Huyện đường Đức Phổ, thị trấn Đức Phổ, Lịch sử văn hóa, 2010, N/A
1329. Chùa Ông (Thu Xà), Nghĩa Hòa- Tư Nghĩa, Lịch sử văn hóa, 1993, 43 VH/QĐ
1330. Đền thờ Trương Định, Tịnh Khê- tp Quảng Ngãi, Di tích lịch sử, 2013, N/A
1331. Đền thờ Tây Sơn Tam Kiệt, TT.Phú Phong- Tây Sơn, Lịch sử văn hóa đặc biệt, 2014, số 2408/QĐ-TTg
1332. Bảo tàng Quang Trung và Điện thờ Tây Sơn, TT.Phú Phong- Tây Sơn, Lịch sử văn hóa, 2010, N/A
1333. Tháp Chăm Dương Long (tháp Ngà), Tây Bình- Tây Sơn, Lịch sử văn hóa đặc biệt, 2015, N/A
1334. Từ đường Võ Văn Dũng, Tây Phú- Tây Sơn, Lịch sử văn hóa, 1988, N/A
